	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"13496.G0 mRNP vs. Poly"	"44524.first half PM prep, array 2"
"YAL007C"	-3.632	-1.826	-1.496	-1.8635	-1.6745	0.951	0.183
"YBL077W"	-5.081	-2.607	-2.816	-3.3595	-3.1945	1.222	1.545
"YBR011C"	-5.344	-0.95	-2.3835	-3.0585	-3.4585	2.398	1.388
"YBR025C"	-5.106	-1.624	-2.141	-2.9345	-3.783	1.064	0.73
"YBR079C"	-4.79	-1.68	-1.965	-2.9905	-2.7575	0.615	0.675
"YBR096W"	-3.347	-1.3	-1.829	-1.7925	-2.066	1.221	0.917
"YBR106W"	-5.052	-2.595	-2.3225	-3.147	-3.2985	1.178	1.509
"YBR121C"	-5.791	-2.366	-4.1355	-4.173	-4.5985	1.82	0.709
"YBR142W"	-4.241	-0.958	-2.2985	-2.5785	-2.8165	0.818	0.607
"YBR143C"	-4.642	-2.012	-2.698	-2.699	-3.572	0.927	0.644
"YBR249C"	-6.025	-1.86	-2.9975	-3.288	-3.9875	1.052	1.261
"YCL045C"	-3.911	-1.516	-2.25533333333333	-2.94333333333333	-2.69566666666667	1.4315	0.489
"YCL053C"	-4.22	-1.345	-1.7235	-2.7635	-2.2165	0.789	0.527
"YCL057W"	-3.12	-0.76	-1.0735	-1.5655	-1.6815	1.41	0.642
"YCL059C"	-5.277	-1.283	-2.0685	-3.0265	-2.4555	0.032	0.437
"YCR013C"	-5.566	-1.264	-1.827	-2.591	-3.6275	1.697	1.256
"YCR034W"	-4.331	-1.895	-3.0135	-3.2845	-3.3025	1.462	1.215
"YCR052W"	-2.66	-0.793	-1.2265	-1.602	-1.3085	0.672	0.618
"YDL145C"	-2.9335	-0.552	-1.115	-1.5045	-1.4735	0.868	0.271
"YDR002W"	-4.542	-1.99	-1.672	-2.746	-2.987	1.311	1.376
"YDR023W"	-5.745	-1.813	-3.056	-3.357	-3.85	0.849	0.656
"YDR098C"	-3.797	-0.94	-1.355	-2.09	-2.226	1.208	0.727
"YDR158W"	-5.115	-1.965	-3.109	-3.802	-4.509	2.058	0.16
"YDR189W"	-2.842	-0.824	-1.597	-1.904	-2.063	0.427	0.22
"YDR211W"	-4.77	-1.476	-2.119	-2.043	-3.034	0.948	0.472
"YDR390C"	-2.736	-0.264	-1.024	-1.541	-2.322	0.425	0.281
