	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL036C"	-2.145	-3.743	-1.41
"YBR060C"	-2.577	-2.827	1.859
"YBR073W"	-2.163	-2.523	1.732
"YBR088C"	-4.084	-4.124	2.227
"YBR093C"	-3.877	-4.597	1.398
"YBR133C"	-0.844	-2.447	-0.298
"YBR166C"	-2.2345	-3.0285	2.1015
"YBR246W"	-2.137	-3.138	2.359
"YBR254C"	-2.52	-2.891	1.529
"YBR257W"	0.663	-0.219	0.703
"YBR259W"	-0.447	-1.333	-0.015
"YCR002C"	-3.669	-5.182	2.551
"YCR043C"	-3.689	-4.19	2.376
"YCR044C"	-1.836	-2.699	1.505
"YCR053W"	-3.556	-4.283	1.138
"YDL044C"	-0.908	-1.9425	0.512
"YDL148C"	-2.269	-4.257	2.018
"YDL225W"	-2.271	-3.558	2.369
"YDR023W"	-2.907	-5.745	3.446
"YDR049W"	-1.527	-2.503	0.702
"YDR117C"	-1.737	-2.494	0.445
"YDR165W"	-3.111	-5.309	1.0225
"YDR245W"	-1.932	-3.6715	2.53966666666667
"YDR268W"	-2.191	-2.42	1.0805
"YDR300C"	-3.24	-3.71	1.565
"YDR348C"	-1.848	-2.174	0.872
"YDR354W"	-1.897	-2.665	1.428
"YDR399W"	-3.073	-4.784	1.212
"YDR440W"	-1.65	-2.77	0.834
"YDR442W"	-0.043	-1.127	0.259
"YDR454C"	-2.876	-4.275	1.93
"YEL066W"	-0.906	-2.043	0.274
"YER003C"	-2.213	-3.453	0.8505
"YER055C"	-2.242	-5.075	0.617
"YER090W"	-3.804	-5.004	1.035
"YER129W"	-0.755	-3.818	1.262
"YFR025C"	-2.373	-3.739	2.228
"YFR035C"	0.478	-1.025	1.7585
"YGL022W"	-3.396	-4.268	2.888
"YGL026C"	-3.132	-4.669	0.911
"YGL094C"	-0.449	-1.739	NaN
"YGL147C"	-3.921	-7.507	0.936
"YGL155W"	-0.827	-2.217	-0.354
"YGL169W"	-1.674	-4.274	3.303
"YGL174W"	-0.721	-1.503	0.398
"YGL202W"	-3.334	-4.405	1.705
"YGL204C"	-0.565	-1.894	0.462
"YGR034W"	-3.052	-6.281	NaN
"YGR092W"	-2.164	-3.742	1.694
"YGR117C"	-1.454	-2.599	1.2165
"YHR047C"	-3.032	-4.423	1.286
"YHR049W"	-3.623	-4.702	2.079
"YHR068W"	-4.28	-6.532	2.683
"YHR163W"	-2.869	-4.663	1.091
"YHR169W"	-3.506	-3.088	-1.22
"YHR170W"	-2.573	-4.858	1.704
"YIL020C"	-2.251	-3.447	0.026
"YIL039W"	-3.668	-4.517	-1.524
"YIL092W"	-0.813	-2.489	1.517
"YIL138C"	-2.433	-3.747	1.142
"YIR023W"	-0.261	-2.094	0.894
"YJL069C"	-3.072	-6.298	NaN
"YJL128C"	-1.693	-2.07	2.315
"YJL171C"	-2.4145	-3.3795	1.1115
"YKL056C"	-3.426	-5.119	NaN
"YKL059C"	0.399	-1.492	2.273
"YKL073W"	-2.672	-3.282	1.942
"YKL080W"	-4.229	-5.94	5.981
"YKL140W"	-1.617	-2.718	0.666
"YKL153W"	-3.54	-5.051	2.825
"YKL154W"	-2.701	-3.89	2.992
"YKL166C"	-0.7835	-1.4285	2.5455
"YKL179C"	-1.527	-3.305	1.769
"YKR028W"	-2.477	-4.381	2.77
"YKR051W"	1.159	-1.144	1.601
"YKR059W"	-2.817	-4.998	1.172
"YKR093W"	-1.7715	-2.854	0.951
"YLL008W"	-2.899	-6.113	1.789
"YLR065C"	-1.93	-3.028	0.885
"YLR153C"	-4.481	-5.598	2.225
"YLR192C"	-2.456	-4.349	-0.933
"YLR351C"	-2.285	-3.461	1.737
"YLR422W"	-0.1525	-2.718	1.3895
"YML028W"	-3.312	-5.853	-0.264
"YML031W"	-3.731	-3.953	2.763
"YML115C"	-2.167	-3.577	1.671
"YML124C"	-3.412	-4.107	1.269
"YMR200W"	0.481	-1.728	0.6995
"YMR208W"	-2.542	-3.618	0.7435
"YMR237W"	-2.955	-4.233	2.0155
"YNL022C"	-1.611	-3.745	0.618
"YNL023C"	-1.724	-1.908	1.836
"YNL041C"	-2.304	-3.473	-0.896
"YNL066W"	-4.175	-5.451	2.8415
"YNL095C"	-0.945	-2.152	2.326
"YNL154C"	-1.871	-3.909	1.5795
"YNL175C"	-2.872	-6.011	1.7105
"YNL220W"	-3.758	-6.09	1.942
"YNL288W"	-1.863	-2.753	1.132
"YNR010W"	0.139	-1.806	0.733
"YNR011C"	-0.413	-3.395	0.045
"YOL022C"	-1.388	-4.073	1.826
"YOR026W"	-1.56	-3.005	1.747
"YOR154W"	-1.757	-3.1905	NaN
"YOR164C"	-2.555	-4.0095	3.248
"YOR169C"	-1.656	-3.934	1.815
"YOR174W"	-0.147	-1.55166666666667	1.396
"YOR238W"	-1.459	-2.2445	0.853
"YOR323C"	-4.2845	-6.434	1.176
"YPL028W"	-3.482	-5.5385	1.478
"YPL037C"	-3.9955	-5.417	1.862
"YPL048W"	-3.2175	-4.579	-0.8
"YPL064C"	0.2365	-3.424	1.498
"YPL086C"	-2.5065	-5.552	NaN
"YPL127C"	0.053	-1.97	1.2735
"YPL160W"	-3.08233333333333	-5.284	5.049
"YPL211W"	-4.4555	-5.029	3.725
"YPL228W"	-0.9645	-2.8945	0.932
"YPL254W"	-1.7645	-3.646	1.36
"YPR012W"	0.507333333333333	-0.561333333333333	1.256
"YPR018W"	-1.726	-2.8605	0.969
"YPR110C"	-3.662	-6.318	2.592
"YPR128C"	-2.617	-3.863	NaN
"YPR145W"	-3.737	-5.02	1.134
"YPR163C"	-2.9485	-5.4905	-1.062
