	"37.alpha factor release sample018"	"497.Heat Shock 000 minutes"	"512.2.5mM DTT 005 min"	"584.17 deg growth"	"651.alpha factor release sample019"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"800.Heat Shock 015 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1313.diauxic shift timecourse: 20.5 hr"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"12061.Pomona College Bio164: dna2-1/WT"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"30464.Rich vs. Minimal II"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"38156.03II01 batch p12"
"YBR203W"	-0.283	-1.0655	-0.848	-0.928	-0.338	0.8635	-1.0	1.219	-0.626	-0.312	2.857	2.642	2.698	2.638	2.192	3.887	3.035	2.512	2.364	2.129	2.815	1.546	3.1385	2.7905	1.4165	3.78	4.2885	4.2585	-0.916	1.811	1.139	1.707	-1.533	-2.879	-1.0	-0.897	1.853	2.359	2.102	-0.905	-2.029	-1.768	1.288	3.78	2.561	2.871	-1.307
"YCR091W"	-0.042	-1.2645	-1.309	-0.971	-0.274	0.532	-1.248	1.35	-0.498	-0.793	4.284	3.522	3.241	3.278	2.691	3.114	1.906	3.192	3.306	3.015	2.875	2.682	3.084	2.685	2.345	2.5735	2.0885	2.0775	-0.848	1.465	0.429	1.384	-1.302	-1.468	-0.788	-1.235	1.3	1.024	1.0495	-1.718	0.007	-3.579	2.288	3.677	2.956	3.005	-1.445
"YDL199C"	0.078	-1.067	-1.047	-0.91	-0.764	0.737	-1.445	1.033	-1.751	-0.989	3.613	3.263	2.856	2.72	3.28	4.082	3.316	2.531	1.984	1.955	1.594	1.354	3.993	2.022	2.729	3.114	3.13	3.12	-1.518	2.842	1.371	1.971	-0.839	-1.011	-0.7	-2.107	1.243	1.289	1.783	-2.145	-1.505	-0.421	3.345	3.576	2.669	3.153	-1.286
"YDR018C"	-0.666	-1.193	-1.0	-0.778	-0.805	0.716	-0.544	1.427	-1.619	-2.567	3.364	2.349	2.874	2.861	3.117	3.091	2.951	2.752	1.593	2.161	1.98	1.843	3.883	1.951	2.398	3.208	2.318	2.708	-1.402	1.841	0.83	0.895	-1.874	-4.615	0.047	1.288	2.119	1.634	2.029	-0.47	-1.701	-2.379	2.796	2.941	2.212	2.156	-2.003
"YDR096W"	0.024	-1.83	-0.848	-0.687	-0.544	0.25	-1.51	1.175	0.287	0.089	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	2.127	2.135	1.735	1.58	1.85	2.169	2.377	2.916	3.613	3.341	-0.391	2.056	0.682	2.342	-1.844	-1.974	-1.206	-1.861	0.636	0.761	0.492	-1.233	-0.866	-3.292	1.2715	1.286	0.9155	1.2575	-0.561
"YDR169C"	-0.429	NaN	-0.148	-0.697	-0.787	0.624	-0.594	0.684	-0.628	0.607	1.221	1.876	1.904	1.078	1.85	1.419	1.661	1.046	1.355	1.071	1.002	0.667	1.538	1.438	1.35	1.608	0.592	1.183	-0.31	1.329	0.74	1.273	-1.9145	-1.5955	-0.412	-0.685	0.882	1.423	1.432	-2.262	-0.144	-2.0255	0.379	0.76	0.802	1.245	-1.428
"YDR272W"	-0.0625	-0.594	-0.202	-1.029	-0.2825	0.776	-0.389	0.7025	-0.892	-0.5085	2.977	2.0815	2.1805	1.707	1.849	1.7545	2.0205	1.229	1.303	1.3	0.972	0.893	1.8585	1.706	1.6595	1.796	1.5975	1.493	-1.4345	1.806	0.5055	0.919	-1.817	-0.743	-0.3765	-1.0185	1.6535	1.5705	1.168	-1.514	-0.813	-2.792	2.781	2.887	2.5605	2.444	-0.0755
"YDR358W"	-0.5405	-1.206	-0.352	-0.749	-0.6975	0.879	-1.202	1.084	-0.561	0.449	4.268	3.057	2.909	3.162	3.18	3.398	2.209	2.838	2.493	2.23	1.681	1.637	1.563	1.366	2.181	1.908	0.632	1.315	-1.318	1.086	1.034	1.765	-0.68	-1.185	-0.155	-1.87	1.418	1.571	1.13	-0.784	-0.683	-4.988	2.369	3.478	2.433	1.87	-1.946
"YEL024W"	0.314	-0.469	-0.889	-0.457	-0.339	1.353	-0.849	0.983	-0.918	-0.315	3.871	4.61	4.009	3.979	3.509	3.632	3.238	2.147	2.151	2.122	1.702	1.991	3.986	3.281	2.635	2.156	2.171	2.77	-0.833	2.753	1.256	2.36	-1.7515	-1.174	-1.8285	-0.908	0.92	1.058	0.686	-0.886	-1.267	0.1365	3.587	2.609	3.024	3.32	0.377
"YER101C"	-0.195	-0.05	-1.036	-1.104	0.081	1.078	-0.193	0.523	-0.763	-0.794	2.427	2.086	1.896	2.217	2.453	2.804	2.453	0.787	1.177	1.403	1.319	0.942	1.61	1.561	2.232	2.67	2.538	3.054	-0.642	0.822	0.318	1.681	-2.534	-7.022	-0.03	-2.013	0.357	0.982	1.544	-1.725	-0.364	-1.854	2.135	2.944	2.252	2.15	-0.875
