	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YAL007C"	-3.056	-3.632	-0.2875
"YBL027W"	-2.671	-5.577	2.086
"YBL072C"	-3.192	-6.241	2.746
"YBL092W"	-2.896	-5.158	1.7355
"YBR011C"	-4.081	-5.344	0.4935
"YBR058C"	-1.008	-3.796	0.590333333333333
"YBR119W"	-0.888	-0.57	-0.624
"YBR189W"	-2.065	-4.702	1.1175
"YBR191W"	-3.167	-5.241	1.1285
"YBR192W"	-1.094	-2.191	-0.703
"YBR195C"	-1.045	-2.056	-0.2715
"YBR260C"	-1.341	-3.36	0.122
"YBR283C"	-1.689	-3.351	0.8575
"YCR013C"	-3.099	-5.566	-0.957
"YDL082W"	-3.326	-5.816	2.249
"YDL145C"	-1.274	-2.9335	0.5425
"YDL150W"	-1.728	-3.715	0.8
"YDL232W"	-1.95466666666667	-3.68533333333333	-0.0356666666666667
"YDR002W"	-2.756	-4.542	-0.247
"YDR025W"	-3.393	-6.697	2.767
"YDR071C"	-2.459	-4.374	0.02
"YDR103W"	-1.211	-2.78	-0.202
"YDR113C"	-1.395	-2.572	0.264
"YDR146C"	-1.841	-2.89	0.959
"YDR165W"	-3.111	-5.309	0.927
"YDR175C"	-0.723	-3.292	0.223
"YDR229W"	-1.415	-2.777	-0.148
"YDR297W"	0.727	-1.972	0.1
"YDR303C"	-2.132	-7.617	-0.502
"YDR385W"	-3.158	-5.463	1.381
"YDR418W"	-3.074	-5.866	2.482
"YDR538W"	0.26	-0.958	0.494
"YEL054C"	-2.98	-7.056	2.322
"YER031C"	-1.835	-4.144	0.242
"YER077C"	-0.7	-2.053	-0.535
"YER102W"	-3.64	-6.434	2.71
"YER117W"	-2.832	-5.642	1.414
"YER127W"	-2.611	-4.439	-0.17
"YER173W"	-1.175	-1.237	-0.197
"YFL037W"	-3.125	-5.562	1.356
"YFR002W"	-1.995	-7.825	0.948
"YFR013W"	-1.774	-3.723	0.812
"YGL030W"	-3.668	-5.484	1.403
"YGL099W"	-2.895	-5.764	0.647
"YGL135W"	-3.418	-5.687	2.2
"YGL221C"	-2.49	-4.397	0.315
"YGL223C"	-1.968	-2.761	0.211
"YGL234W"	-2.485	-5.74	-0.1
"YGL245W"	-4.799	-6.655	1.309
"YGR034W"	-3.052	-6.281	1.181
"YGR056W"	-1.32	-2.933	-0.207
"YGR118W"	-2.204	-5.471	1.925
"YGR151C"	-3.87	-3.928	0.692
"YGR186W"	0.138	-1.483	0.403
"YGR189C"	-2.638	-4.894	1.016
"YHL033C"	-3.984	-6.65	2.175
"YHR068W"	-4.28	-6.532	1.339
"YHR121W"	-1.976	-4.718	0.45
"YHR127W"	-1.518	-2.837	0.756
"YHR174W"	-2.562	-5.41	-0.171
"YHR191C"	-4.392	-1.487	0.261
"YIL052C"	-2.895	-6.278	1.879
"YIL133C"	-2.693	-5.79	2.01
"YJL097W"	-2.596	-4.683	0.734
"YJL107C"	0.077	-6.293	0.719
"YJL111W"	-3.38	-6.57	1.213
"YJL177W"	-3.255	-5.49	2.74
"YJL188C"	-2.786	-4.633	0.856
"YJL190C"	-3.585	-6.079	1.955
"YJR007W"	-3.21	-8.057	1.362
"YJR024C"	-1.994	-4.204	-0.396
"YJR090C"	0.051	-2.6835	0.116
"YJR123W"	-4.381	-9.147	2.581
"YJR145C"	-3.54	-6.528	2.789
"YKL006W"	-2.835	-5.113	1.986
"YKL122C"	-2.027	-4.576	-0.036
"YKL128C"	-1.222	-3.6	0.861
"YKL135C"	-1.794	-3.285	0.251
"YKL180W"	-2.561	-5.237	1.921
"YKR001C"	-2.222	-5.109	0.106
