	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"40946.H2O2_II_7_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40962.MD_II_7_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YAL036C"	-1.839	-1.948	-0.132	-1.94	-1.945	-1.476	-0.159	-1.378	-0.485	-2.24	-1.7	-1.117	-1.024	-1.409	-2.145	-3.743	-1.801	-2.682	-2.056	-2.5035	-1.829	-1.486	-1.4315	-1.841	-2.0465	-0.8105	-0.619	-1.841	0.55	-3.235	-2.469	-0.693	-0.271	-4.226	-0.36	-0.109	-0.345	-0.227	-0.926	-1.769	-1.247	-0.867	-0.698	0.072	-0.809	-0.11	-0.248	-0.519	0.206	-1.064	-1.019	-0.982	-1.536	-0.39
"YBR034C"	-3.193	-2.964	-1.585	-2.426	-3.138	-3.33	-0.75	-2.042	-0.758	-3.091	-2.072	-1.817	-1.906	-2.349	-1.758	-3.523	-1.338	-1.874	-2.144	-2.6345	-1.987	-1.729	-2.833	-2.963	-1.668	-1.1355	-0.9695	-3.638	-0.337	-3.01	-2.306	-1.259	-0.642	-2.298	-0.672	-0.682	-0.623	-0.916	-3.237	-2.481	-2.253	-1.841	-1.822	-0.994	-0.549	-1.352	-1.324	-1.197	-0.952	-1.821	-1.808	-2.096	-1.958	-2.288
"YBR084W"	-2.64	-3.129	-0.573	-2.61	-3.49	-3.539	-1.4615	-1.516	-1.137	-4.143	-3.145	-3.201	-2.722	-4.006	-4.365	-5.362	-1.888	-2.317	-2.197	-2.3585	-1.8955	-2.592	-1.934	-2.75	-2.725	-0.8135	-0.699	-4.142	-0.482	-4.322	-3.783	-1.138	-0.355	-4.104	-0.125	-0.356	-0.173	-0.968	-2.647	-3.082	-3.886	-2.886	-2.974	-2.356	-1.344	-1.857	-1.776	-1.365	-1.247	-4.042	-2.826	-2.018	-2.88	-3.139
"YDL014W"	-3.382	-2.366	-1.03	-2.465	-4.46	-4.776	-1.3855	-2.861	-1.118	-3.37	-2.435	-2.318	-1.989	-2.298	-3.061	-2.641	-1.545	-1.412	-0.789	-2.2875	-1.916	-2.17	-1.901	-1.8155	-1.342	-0.9035	-0.7165	-4.277	0.529	-3.718	-3.399	-2.261	-0.645	-4.482	0.614	0.84	0.471	-0.714	-2.119	-3.4	-2.687	-2.521	-1.377	-0.844	-1.348	-1.474	-1.587	-1.009	0.147	-3.081	-2.681	-2.123	-2.192	-3.258
"YDL050C"	-2.278	-1.047	-0.399	-2.322	-2.45	-2.283	-0.111	-1.086	-0.487	-1.678	-1.311	-1.298	-0.721	-0.611	-1.589	-2.937	-1.633	-1.885	-1.637	-2.056	-0.581	-0.685	-1.022	-1.727	-0.096	-0.464	-0.641	-2.875	0.63	-2.137	-1.796	-1.094	1.641	-3.019	-0.114	0.188	-0.189	-1.078	-1.414	-2.287	-2.228	-1.877	-1.387	-0.812	-0.808	0.111	-0.174	-0.33	-1.436	-2.39	-2.294	-1.907	-2.446	-2.598
"YDL051W"	-2.35	-2.784	-0.534	-2.447	-3.059	-3.066	-0.722	-1.544	-0.777	-3.639	-2.402	-2.024	-1.821	-2.07	-2.856	-3.563	-1.884	-2.198	-1.985	-2.973	-2.013	-1.804	-1.557	-2.325	-2.819	-0.819	-0.865	-3.388	0.543	-2.805	-2.491	-1.644	0.598	-3.192	0.183	0.678	0.054	-0.96	-2.373	-2.38	-2.435	-2.444	-2.047	-1.511	-1.069	-0.421	-0.217	-0.404	-0.424	-2.117	-3.291	-2.803	-2.324	-2.58
"YDL060W"	-2.485	-1.469	-0.854	-2.459	-2.961	-1.9	0.248	-1.312	-0.925	-2.808	-1.985	-2.036	-0.87	-0.75	-1.737	-2.3	-2.113	-2.011	-1.942	-1.721	-0.97	-0.858	-0.624	-0.796	-0.503	-0.475	-0.624	-2.833	-0.214	-2.676	-2.62	-1.053	0.042	-2.496	0.122	0.056	-0.217	-0.641	-2.964	-3.2	-2.179	-1.891	-1.444	-0.777	-0.859	-0.632	-0.449	-0.602	-0.359	-1.437	-1.951	-1.724	-2.051	-2.296
"YDL153C"	-4.549	-4.333	-0.517	-3.047	-4.369	-3.668	-0.432	-2.643	-1.684	-3.698	-2.049	-1.68	-1.637	-1.855	-0.684	-2.931	-2.125	-2.307	-1.325	-2.633	-1.834	-1.728	-0.665	-0.597	-0.757	-1.238	-1.204	-4.079	0.389	-2.5	-1.85	-1.551	-0.609	-5.47	-0.346	-0.056	-0.076	-0.44	-2.409	-3.278	-2.478	-2.582	-2.011	-1.578	-0.974	-0.638	-1.364	-0.387	-0.155	-1.822	-2.384	-2.056	-2.46	-1.216
"YDR045C"	-1.547	-1.683	-0.153	-1.259	-0.719	-1.511	0.0	-1.47	-0.237	-1.775	-1.288	-1.069	-1.187	-1.685	-1.624	-3.27	-0.72	-1.569	-1.556	-1.184	-0.443	-1.366	-0.881	0.423	-0.039	-0.201	-0.211	-1.211	0.72	-1.004	-2.029	-1.064	0.391	-1.058	-0.328	0.055	0.045	-0.934	-1.454	-1.651	-0.93	-1.442	-1.297	0.368	-0.903	-0.489	-0.076	-0.561	-0.404	-1.347	-1.875	-1.396	-1.343	-0.777
"YDR083W"	-2.781	-3.602	-1.008	-2.743	-3.018	-3.242	-0.576	-0.901	-1.206	-3.47	-2.724	-1.65	-1.598	-1.928	-2.092	-2.922	-2.497	-2.697	-1.847	-2.436	-1.715	-1.838	-1.676	-2.45	-2.097	-0.98	-0.861	-3.386	-0.184	-3.178	-1.496	-1.086	-0.666	-2.713	-0.099	0.104	0.192	-0.331	NaN	-2.971	-3.133	-2.902	-2.678	-1.955	-0.251	-1.473	-0.889	-1.151	-0.123	-2.089	-2.822	-1.268	-0.75	-1.59
"YDR091C"	-2.613	-2.435	-0.707	-2.061	-2.869	-2.781	-0.878	-2.561	-0.911	-3.288	-2.045	-1.789	-1.68	-1.362	-3.384	-4.4	-2.163	-2.925	-2.268	-2.971	-1.631	-2.044	-2.636	-3.222	-3.423	-0.82	-0.819	-2.972	-0.294	-2.978	-3.163	-0.944	-0.261	-2.953	-0.217	-0.096	0.142	-0.592	-3.483	-2.823	-2.809	-1.954	-2.542	-1.621	-0.242	-0.805	-1.507	-0.21	-1.661	-1.019	-2.627	-2.595	-2.9	-1.659
"YDR101C"	-3.513	-3.404	-1.132	-3.0	-3.74	-3.659	-0.843	-2.724	-1.32	-4.306	-3.203	-3.082	-2.55	-2.948	-4.145	-4.667	-2.997	-3.385	-2.743	-2.52	-2.005	-2.252	-2.862	-3.177	-3.516	-1.295	-1.139	-3.253	-0.483	-3.244	-3.315	-2.327	-0.785	-3.048	-0.134	-0.333	-0.361	-1.162	-5.251	-2.911	-2.551	-2.764	-2.644	-1.66	-0.959	-1.395	-0.689	-0.629	-0.887	-3.361	-2.827	-2.576	-3.128	-2.094
"YDR161W"	-2.955	-3.329	-0.802	-2.329	-2.866	-2.687	-0.893	-1.846	-1.065	-4.61	-2.37	-2.197	-2.192	-2.356	-2.842	-4.816	-2.279	-1.842	-2.024	-1.951	-1.46	-1.537	-2.298	-2.511	-2.286	-0.56	-0.369	-2.248	0.258	-2.194	-1.468	-0.821	-0.562	-2.335	-0.191	-0.363	0.094	0.182	-1.441	-1.397	-1.053	-1.315	-0.971	-0.286	-0.707	0.318	0.417	-0.232	-0.819	-1.492	-1.006	-1.806	-1.824	-1.36
"YDR184C"	-3.745	-3.004	-0.28	-2.64	-3.408	-2.671	-0.245	-1.575	-0.812	-3.504	-1.845	-2.067	-1.607	-1.491	-1.802	-1.842	-1.291	-1.444	-1.709	-3.243	-1.65	-1.431	-1.148	-2.113	-1.087	-0.618	-0.514	-3.644	-0.121	-3.588	-2.068	-0.715	0.187	-3.208	-0.565	-0.159	-0.392	-0.116	NaN	-3.0325	-3.0895	-2.2905	-3.084	-1.3475	-0.4175	-1.459	-0.705	-0.7755	-0.6585	-2.793	-2.1695	-1.5655	-2.0565	-1.032
"YDR399W"	-3.808	-4.226	-1.251	-3.084	-3.396	-2.921	-0.776	-2.59	-1.468	-4.676	-3.277	-1.962	-2.107	-2.773	-3.073	-4.784	-0.857	-1.68	-1.311	-2.658	-0.706	-1.041	-2.115	-2.216	-2.373	-1.012	-0.93	-2.993	-0.355	-2.911	-2.094	-1.366	-0.643	-2.321	-0.289	-0.645	-0.441	-1.11	-4.807	-3.393	-4.366	-4.453	-2.615	-2.876	-1.586	-1.666	-0.939	-1.5	-0.734	-3.815	-3.846	-1.731	-3.639	-3.377
"YEL026W"	-2.423	-2.001	-0.798	-1.912	-3.104	-3.214	-1.012	-1.349	-0.701	-3.603	-2.647	-2.87	-2.043	-2.905	-3.458	-4.755	-2.741	-3.518	-3.357	-3.331	-2.232	-1.923	-2.288	-3.073	-0.452	-0.319	-0.936	-3.194	0.473	-2.176	-1.423	-0.275	0.329	-3.527	0.696	0.935	0.859	0.3825	-1.4165	-2.396	-2.246	-2.0425	-1.178	-0.3115	-0.2895	0.7685	0.724	0.244	0.415	-1.8915	-2.486	-2.246	-2.4325	-2.435
"YER102W"	-1.613	-2.227	-0.978	-1.876	-2.922	-3.415	-1.525	-0.754	-1.134	-3.932	-3.965	-3.177	-2.924	-2.578	-3.64	-6.434	-2.571	-3.101	-3.625	-4.286	-2.008	-2.593	-2.579	-3.326	-3.859	-0.107	-0.154	-2.712	0.566	-2.448	-1.086	-0.759	0.165	-2.385	0.186	0.253	0.678	-0.066	-0.333	-0.956	-1.374	-1.412	-1.27	-0.665	-0.432	0.41	0.075	0.153	0.231	-0.696	-1.175	-0.828	-1.748	-1.074
"YGL029W"	-4.276	-3.685	-0.857	-2.755	-4.337	-3.57	-0.433	-2.956	-1.539	-3.653	-2.943	-2.526	-2.553	-1.636	-1.676	-2.985	-2.591	-2.881	-2.079	-2.398	-1.777	-1.697	-1.23	-1.498	-1.707	-1.463	-1.081	-3.874	0.335	-1.19	-1.676	-1.003	-1.122	-3.548	-0.723	-0.435	-0.018	0.133	-4.69	-2.722	-3.027	-2.335	-2.271	-1.081	-1.5	-0.64	-0.887	-1.287	-1.014	-1.069	-2.074	-1.49	-2.396	-2.669
"YGL031C"	-1.911	-2.424	-0.89	-1.886	-3.443	-3.97	-1.231	-0.99	-1.087	-3.366	-4.285	-3.732	-2.9	-3.104	-3.683	-5.763	-2.209	-3.041	-2.881	-5.191	-2.42	-2.899	-2.92	-3.061	-3.473	-0.273	-0.28	-3.282	0.828	-2.401	-2.013	-0.943	0.064	-2.773	0.167	0.6	0.608	-0.966	-1.032	-1.701	-1.852	-1.796	-1.793	-0.81	-1.288	-0.76	-1.186	0.277	-0.483	-0.992	-1.243	-2.49	-1.421	-1.852
"YGL078C"	-4.33	-3.709	-0.938	-3.238	-4.399	-3.428	-0.427	-2.77	-1.356	-4.866	-2.556	-1.916	-1.553	-2.045	-2.215	-4.455	-2.562	-2.914	-2.134	-4.196	-1.897	-1.744	-2.103	-1.515	-2.198	-1.352	-1.279	-4.147	-0.063	-3.538	-2.52	-1.584	0.009	-3.576	-0.439	-0.348	-0.155	-1.111	-3.661	-4.176	-2.945	-2.745	-2.258	-1.293	-1.599	-1.192	-0.453	-0.265	-0.69	-3.367	-1.981	-2.457	-2.919	-2.236
"YGL099W"	-2.253	-2.456	-0.403	-2.097	-3.122	-3.311	-1.079	-2.018	-0.973	-3.43	-2.011	-2.123	-1.774	-2.335	-2.895	-5.764	-2.268	-2.454	-1.59	-2.755	-1.738	-1.984	-2.516	-3.273	-3.42	-0.743	-0.766	-3.381	-0.093	-1.974	-1.714	-0.648	-0.355	-3.506	0.3	0.381	0.274	-0.391	-2.161	-3.014	-2.756	-1.888	-1.175	-0.874	0.167	-0.715	-1.568	-0.841	0.016	-3.526	-1.837	-0.896	-0.864	-1.769
