	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"513.2.5mM DTT 015 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"971.1mM Menadione (40 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"11466.yO1 test hyb"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"
"YAL048C"	0.085	-0.133	-0.57	-0.1	0.193	-0.1955	-0.424	0.027	1.579	1.633	1.167	1.225	1.263	1.585	1.042	0.455	0.521	0.333	0.538	0.817	0.126	-0.034	1.019	0.778	0.7415	0.9225	1.1745	1.1505	1.2765	0.146	0.754	-0.661	-1.12	0.3525	0.017	0.3355	0.169	0.2195	0.143	0.842	0.499
"YBL049W"	0.499	0.615	-1.121	0.72	0.353	0.3565	-0.012	0.06	3.632	4.071	3.507	4.101	4.812	2.844	4.254	1.645	2.326	2.309	3.401	3.138	-0.047	0.193	3.3385	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	2.982	3.192	3.034	-1.09	2.943	2.941	3.5405	3.074	3.249	0.5115	5.083	2.402
"YBR203W"	0.301	1.0	-1.585	-0.101	0.6005	0.5085	0.3435	1.441	2.857	2.642	2.698	2.638	2.192	3.887	3.035	2.512	2.364	2.129	2.815	1.546	0.591	0.34	3.1385	2.7905	1.4165	3.78	4.2885	4.2585	3.3455	2.114	1.811	1.707	-0.897	1.853	2.359	2.102	2.1405	1.486	0.2325	2.871	-0.484
"YBR207W"	0.309	0.319	0.298	0.979	-1.2435	-0.093	-1.484	0.142	1.078	1.804	1.179	0.796	1.437	1.164	1.777	1.03	0.906	0.651	0.854	1.044	0.313	0.469	1.664	1.1645	1.0315	1.2685	1.488	1.3975	1.2015	0.364	0.35	0.352	0.246	1.018	0.4045	0.6175	0.583	0.5695	0.3725	0.918	0.665
"YCR010C"	-0.315	0.637	-1.013	-0.465	-0.9345	-0.1225	-0.112	0.289	3.379	4.706	5.354	5.636	5.893	2.875	7.459	1.943	1.656	1.517	4.008	4.745	-0.174	0.044	3.1065	4.604	1.8915	2.1375	5.5815	6.8295	6.34	1.048	3.186	3.196	-0.802	0.0525	-0.1115	-0.3525	-0.412	-0.2315	-0.039	4.416	2.589
"YDL204W"	3.181	3.877	-1.834	3.83	4.272	1.725	2.77	3.701	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.975	4.604	4.28	4.346	3.903	-0.247	0.129	4.66	4.854	5.274	5.34	5.75	7.317	5.93	4.234	3.477	4.52	-0.46	3.839	4.418	4.402	3.661	4.467	1.422	4.76	3.492
"YDR186C"	0.276	0.465	-0.625	0.355	0.881	0.152	0.092	-0.175	1.26	1.194	0.964	1.784	2.355	2.025	2.123	0.308	0.61	1.061	0.276	1.062	0.425	0.241	0.498	1.094	1.442	1.343	1.726	1.874	1.701	0.808	0.722	0.684	-0.59	1.11	1.127	1.16	0.468	0.988	0.323	1.102	-0.048
"YDR306C"	0.712	0.637	0.229	0.363	1.168	0.245	0.607	0.412	1.761	1.727	2.012	1.925	2.196	1.846	2.437	1.744	1.427	1.626	1.092	1.219	0.222	0.257	1.745	1.558	1.55	1.603	1.93	1.569	1.144	1.884	1.339	0.514	-1.159	0.896	0.704	1.247	0.761	0.874	0.529	1.124	0.328
"YEL011W"	1.284	2.585	1.864	1.835	3.125	2.062	1.246	3.695	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.014	2.876	3.74	3.022	2.308	1.332	0.998	4.997	3.795	3.906	3.266	3.642	5.213	4.068	2.87	3.311	2.6905	-1.716	3.079	2.224	1.999	1.253	1.514	2.243	2.422	1.816
"YER015W"	-0.56	-0.585	-2.485	-0.531	0.052	-0.067	0.021	0.077	2.172	2.385	3.584	3.301	3.005	2.769	3.101	1.224	1.095	1.623	1.816	0.843	-0.338	-0.541	3.359	2.401	1.979	2.609	2.833	1.972	1.943	1.227	1.81	0.745	-1.436	0.87	1.58	0.953	-0.251	0.077	0.311	0.6375	-0.3755
