	"513.2.5mM DTT 015 min"	"516.2.5mM DTT 060 min"	"584.17 deg growth"	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"6357.DES460 + 0.02% MMS - 60 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30319.usv1("	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YBR203W"	-1.585	0.103	-0.928	0.8635	0.5085	1.052	2.857	2.642	2.698	2.638	2.192	3.887	3.035	2.364	2.129	2.815	1.546	1.102	0.778	3.1385	2.7905	1.4165	3.78	4.2885	4.2585	3.3455	0.362	0.1145	0.4275	1.707	2.359	2.102	2.1405	1.486	0.247	0.675	0.626	0.724	0.628	-0.14	1.782	1.288	2.871	-0.446
"YDL204W"	-1.834	-0.644	-0.77	2.402	1.725	4.204	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.604	4.28	4.346	3.903	1.868	2.54	4.66	4.854	5.274	5.34	5.75	7.317	5.93	1.145	0.394	1.334	4.52	4.418	4.402	3.661	4.467	1.116	0.796	1.132	1.329	1.237	-0.026	5.526	4.943	4.76	2.209
"YDR090C"	-0.603	-0.339	-0.12	-0.101	-0.136	0.109	0.793	1.697	1.445	1.349	1.124	1.881	1.834	0.494	0.224	0.792	0.852	-0.241	0.105	1.106	0.745	0.58	0.672	1.478	1.756	1.15	0.097	-0.039	0.101	0.814	0.77	1.004	0.922	1.238	-0.04	0.481	0.616	0.196	0.11	-0.057	0.109	0.47	1.205	-0.221
"YDR186C"	-0.625	-0.655	-0.998	0.605	0.152	-0.075	1.26	1.194	0.964	1.784	2.355	2.025	2.123	0.61	1.061	0.276	1.062	0.648	0.823	0.498	1.094	1.442	1.343	1.726	1.874	1.701	0.054	0.127	-0.118	0.684	1.127	1.16	0.468	0.988	0.1865	-0.179	0.0815	0.2905	-0.005	-0.105	0.02	0.118	1.102	-0.548
"YER101C"	-0.618	-0.041	-1.104	1.078	0.144	0.175	2.427	2.086	1.896	2.217	2.453	2.804	2.453	1.177	1.403	1.319	0.942	1.12	0.31	1.61	1.561	2.232	2.67	2.538	3.054	2.598	-0.14	0.217	0.696	1.681	0.982	1.544	1.125	1.698	0.624	0.521	1.183	1.053	0.617	-0.381	2.443	2.135	2.15	0.482
"YGL156W"	-0.909	0.966	-0.399	2.447	0.213	1.542	4.377	4.521	4.625	4.645	5.069	5.027	5.027	3.372	3.335	3.32	3.359	1.829	1.203	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.597	0.22	1.242	3.83	3.122	2.52	2.321	2.341	1.565	1.7435	1.7085	1.6145	1.2625	-1.047	2.0345	2.183	1.995	0.8995
"YGL251C"	-0.615	-1.322	-1.241	-0.737	-0.129	-0.009	0.577	0.361	0.485	0.415	0.695	0.873	1.099	0.167	0.499	0.671	-0.02	0.128	-0.407	0.898	0.285	0.507	1.181	0.932	0.832	0.709	-0.182	0.046	-0.274	-0.365	0.268	0.783	0.659	1.042	0.0475	0.128	0.3005	0.1415	-0.023	0.085	0.766	0.101	0.205	0.07
"YGR046W"	-0.508	0.123	-0.437	0.396	0.311	0.045	1.736	1.476	1.541	1.423	2.266	1.783	2.451	1.191	1.392	1.12	0.811	0.621	0.413	2.016	1.666	1.74	1.89	2.246	2.534	1.748	-0.537	0.047	0.15	1.351	0.953	1.259	1.204	1.406	-0.0745	-0.115	0.224	0.237	0.232	0.315	1.648	1.512	2.026	0.049
"YGR201C"	-0.655	0.405	-0.583	1.412	0.66	1.272	5.046	4.249	4.063	4.377	5.158	4.49	4.974	3.062	2.97	2.896	3.228	1.072	1.012	2.855	2.842	3.597	2.109	2.914	5.103	3.769	1.314	0.31	0.542	3.357	2.825	2.23	1.778	2.563	1.617	1.264	1.837	1.619	1.767	0.329	1.755	2.239	2.151	0.793
"YHR139C"	-0.965	0.082	-1.72	1.965	0.518	0.684	3.345	2.532	3.161	6.099	7.319	6.877	7.176	0.423	0.933	2.316	2.68	1.346	1.877	1.556	4.926	6.185	6.37	6.535	7.49	5.576	0.716	0.686	0.415	6.683	1.076	3.187	2.593	2.25	5.127	2.31	4.053	3.922	4.252	-0.342	3.767	3.851	6.789	0.566
"YHR160C"	-0.106	-0.553	-0.633	0.459	0.339	0.594	2.803	2.285	3.129	2.892	3.668	3.757	5.293	1.87	2.171	1.972	0.87	0.8135	0.3995	2.914	1.936	1.829	2.887	3.407	3.939	3.173	0.731	0.333	0.803	1.422	2.57	2.466	2.55	3.31	1.218	0.808	1.153	1.288	1.645	-0.253	1.524	1.37	1.186	0.563
"YHR195W"	-0.585	-0.229	-0.642	0.528	0.189	0.77	3.151	1.548	1.496	1.62	1.817	1.818	2.079	1.262	1.36	1.173	0.866	-0.154	-0.2475	0.828	1.032	1.57	1.492	2.051	2.066	1.785	-0.046	-0.084	0.325	1.742	1.052	0.98	0.95	1.481	0.128	0.006	0.032	0.241	0.225	-0.074	1.314	1.737	2.427	-0.73
"YHR213W"	-0.749	-0.466	-1.697	0.485	0.019	-0.471	0.464	0.333	1.432	0.299	0.973	1.624	1.568	0.014	0.683	0.869	0.462	-0.8065	-0.0155	0.69	0.632	1.139	0.98	2.132	2.738	1.981	-1.026	-0.197	-0.009	0.755	0.121	0.46	0.055	0.478	-0.262	0.125	0.049	0.445	0.333	0.027	0.316	0.044	0.555	-0.321
"YIL045W"	-0.874	0.23	-0.791	1.113	1.313	0.237	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.691	2.176	2.2	2.313	0.9085	0.3715	4.236	3.986	4.311	4.378	4.139	3.804	2.963	0.355	-0.009	0.993	2.832	3.84	3.974	3.622	3.653	1.352	0.495	1.431	1.681	1.541	0.273	2.782	2.929	3.3	1.364
"YIL101C"	-0.212	0.263	-1.051	1.778	0.414	2.507	4.085	3.455	3.613	3.609	3.977	2.863	4.152	2.324	2.418	1.78	1.936	1.922	0.7035	1.742	2.114	3.227	2.8	4.566	4.346	4.03	0.55	0.046	0.642	3.301	1.982	1.981	2.369	1.881	0.04	0.348	0.331	-0.065	0.381	0.095	1.3765	1.809	1.2415	0.828
"YIL146C"	0.009	0.022	-0.555	0.798	-0.053	-0.074	2.334	2.196	2.111	2.234	2.539	2.94	3.637	1.068	0.997	1.658	1.857	0.3195	0.1875	2.306	1.867	2.177	2.693	3.595	3.491	2.947	0.258	0.285	0.303	1.477	2.114	2.336	1.873	2.441	0.534	0.615	0.666	0.872	0.72	0.264	0.62	0.878	2.204	0.756
"YJL042W"	-0.2465	0.075	-1.3445	0.508	0.0395	0.601	1.7415	1.465	1.5205	1.6	1.57	2.03	3.1845	0.9625	1.076	0.887	1.041	0.749666666666667	0.314333333333333	1.223	1.0435	1.4705	1.3655	2.16	1.8615	1.344	0.473	0.077	0.02	0.543	1.42	1.614	0.9505	0.624	0.789	0.365	0.839	0.828	0.536	-0.057	1.816	1.504	1.395	0.419
"YJL141C"	-0.196	0.153	-1.173	0.38	0.418	0.608	3.509	2.039	1.989	2.212	2.328	2.273	2.708	2.008	1.927	1.804	1.28	0.501	0.153	0.979	1.012	1.856	1.968	2.217	2.333	2.128	-0.443	-0.226	0.334	1.359	0.904	0.994	0.86	1.535	0.537	-0.061	0.508	0.943	0.778	-0.215	1.731	1.132	2.136	0.643
"YJL142C"	-0.594	0.265	-0.912	0.451	0.09	0.935	3.291	2.454	2.277	2.799	2.882	2.902	3.007	2.282	1.779	1.145	1.251	0.367	0.314	1.589	1.747	2.03	2.375	2.807	2.87	2.161	0.752	-0.167	0.29	1.042	1.443	0.796	1.071	1.847	-0.273	-1.178	-0.258	0.01	0.316	-0.082	2.127	1.349	1.854	0.363
"YKR097W"	-0.117	-0.025	-0.882	3.251	0.024	0.111	5.028	6.83	7.19	6.862	7.33	5.367	5.07	0.807	0.58	5.974	6.148	0.941	0.833	6.922	6.534	5.735	5.448	6.528	6.693	5.565	0.662	0.087	-0.227	5.059	2.05	3.289	3.323	4.123	1.228	0.93	1.85	1.602	2.075	-0.104	4.862	5.975	4.982	0.07
"YLL020C"	-0.132	0.613	-1.249	1.152	0.328	0.631	2.548	2.425	2.819	2.393	2.931	3.266	3.846	1.37	1.193	1.519	1.423	0.31	0.284	1.886	1.633	2.494	2.677	3.623	3.679	3.754	0.524	0.281	0.347	2.314	1.227	1.505	1.421	1.892	0.162	-0.339	-0.287	0.529	1.226	-0.131	2.446	2.618	2.504	0.38
"YLR312C"	-0.547	-0.469	-0.4	1.801	1.737	0.655	4.821	5.627	6.446	5.561	5.97	4.818	6.051	3.545	2.674	4.286	4.34	2.932	2.011	4.955	5.214	4.896	5.569	6.764	7.043	6.406	1.415	0.426	1.483	3.462	4.618	4.916	4.296	5.025	0.322	-0.1	0.439	0.26	0.748	0.079	3.148	4.818	4.571	2.188
"YML042W"	-1.108	-0.284	-0.236	2.306	0.267	0.934	5.257	5.951	5.954	6.053	5.694	5.292	4.94	3.592	2.989	2.529	1.465	0.71	0.674	4.969	5.064	3.866	4.298	3.56	3.618	2.209	0.706	0.312	0.437	2.684	2.403	1.957	0.91	1.878	0.676	0.507	0.553	1.183	0.541	0.088	4.904	3.574	3.97	0.562
"YMR081C"	-0.68	-0.184	-1.071	0.727	2.39	1.187	5.134	4.866	4.127	4.854	4.825	5.524	6.678	5.55	5.535	4.182	4.914	0.767	0.616	5.537	4.601	3.765	5.056	4.13	4.987	4.226	1.155	0.305	-0.175	4.371	3.016	3.007	3.482	3.108	0.523	0.936	0.89	1.173	1.289	-0.163	6.135	5.714	3.912	1.16
"YMR256C"	0.079	-0.098	-0.091	0.796	-0.034	0.241	1.956	3.733	3.752	3.004	2.535	2.231	2.263	1.388	2.064	1.834	1.596	0.553	0.093	2.619	2.226	1.955	2.039	3.598	3.098	2.096	0.297	-0.228	-1.554	1.843	1.701	1.387	0.97	1.196	0.493	0.031	0.532	0.149	0.688	-0.094	2.73	2.949	2.31	-0.457
"YNL009W"	-1.024	-0.366	-0.872	1.032	0.049	0.379	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.636	1.965	2.771	2.567	0.491	0.42	2.794	3.455	2.625	2.456	4.699	4.803	3.897	0.634	-0.046	0.434	2.142	2.776	2.656	2.059	2.155	0.45	-0.046	0.272	0.758	0.164	-0.037	1.866	3.281	2.0	0.567
"YOL100W"	-0.239	0.263	-1.234	0.525	0.425	0.011	1.408	1.489	1.833	0.278	1.4585	3.302	1.8705	1.329	1.256	2.348	1.751	0.927	0.439	1.035	0.988	1.317	1.679	1.877	1.802	1.541	0.367	0.079	0.109	1.015	0.996	1.284	1.136	1.169	0.268	-0.21	0.712	0.29	0.591	-0.269	0.752	0.235	0.745	0.374
"YOR178C"	-0.105	0.0	-1.322	1.411	1.467	1.12	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	2.579	2.623	2.2575	2.2275	0.955	0.19	3.591	4.802	5.508	5.525	6.246	5.242	4.229	0.266	0.291	-0.177	3.538	3.601	3.712	3.702	3.655	0.865	0.929	1.504	1.204	1.532	0.078	1.503	0.471	1.444	0.104
"YPL054W"	-0.337	0.415	-0.688	1.771	0.353	1.67	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.3245	5.1485	4.589	0.651	2.439	1.465	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.882	0.201	0.179	4.457	4.26	4.568	4.886	4.785	1.395	0.924	1.783	1.614	1.614	-0.811	3.025	3.262	4.439	1.456
"YPL147W"	-0.780333333333333	0.125333333333333	-0.954	1.0	0.1405	0.719666666666667	2.51633333333333	2.51233333333333	3.635	3.046	3.802	3.194	5.74466666666667	2.73866666666667	2.89133333333333	2.694	2.44766666666667	1.246	0.3285	2.811	2.8035	2.074	2.4785	4.8195	4.6645	4.599	0.3315	-0.0485	-0.045	2.8235	1.0485	1.008	1.227	1.512	0.7505	0.6275	0.7695	0.4645	0.6665	-0.165	3.133	2.565	2.078	0.511
