	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"3022.WT vs lpz8 null cells in low Cu"
"YBL077W"	-1.694	-1.571	-2.021	-3.136	-5.081	-2.667	-1.615	-2.345	-2.816	-3.3595	-3.1945	-0.028
"YBR011C"	-0.822	-1.081	-0.977	-4.081	-5.344	-1.407	-0.2825	-1.271	-2.3835	-3.0585	-3.4585	0.267
"YBR106W"	-1.695	-1.83	-2.108	-3.354	-5.052	-2.731	-1.999	-2.137	-2.3225	-3.147	-3.2985	0.396
"YBR121C"	-1.582	-1.543	-2.186	-4.037	-5.791	-2.465	-1.721	-3.155	-4.1355	-4.173	-4.5985	-0.088
"YBR154C"	-1.448	-1.369	-1.387	-3.531	-4.423	-1.85	-1.6075	-2.257	-2.6225	-3.012	-3.8995	0.097
"YBR205W"	0.216	-0.253	-0.574	-2.047	-3.842	-1.251	-0.458	-0.5585	-0.8785	-1.5345	-2.119	0.12
"YBR283C"	-0.506	-0.531	-0.816	-1.689	-3.351	-1.52	-0.8295	-1.437	-1.68	-1.8725	-2.0585	0.356
"YCR002C"	-0.686	-1.293	-1.572	-3.669	-5.182	-1.575	-0.8665	-1.597	-2.564	-2.9535	-2.7005	-0.107
"YCR034W"	-1.032	-0.877	-1.912	-3.204	-4.331	-2.489	-1.2005	-2.676	-3.0135	-3.2845	-3.3025	0.174
"YDR071C"	-0.661	-0.825	-1.203	-2.459	-4.374	-0.861	-0.648	-0.953	-1.937	-3.125	-2.557	0.039
"YDR098C"	-0.397	-0.455	-1.205	-1.722	-3.797	-1.178	-1.054	-1.498	-1.355	-2.09	-2.226	0.115
"YDR341C"	-1.485	-1.763	-1.574	-3.212	-5.262	-2.218	-1.135	-2.263	-3.262	-3.294	-3.559	-0.17
"YER009W"	-0.602	-0.827	-1.398	-2.671	-4.765	-1.906	-0.939	-1.465	-2.034	-2.393	-2.025	0.353
"YER043C"	-1.979	-2.553	-2.767	-4.78	-6.476	-3.18	-2.272	-3.716	-3.31	-4.857	-4.918	0.056
"YER086W"	-1.128	-1.076	-1.236	-3.61	-5.173	-2.028	-1.373	-1.837	-2.624	-2.882	-3.77	-0.074
"YFR009W"	-1.318	-1.513	-2.017	-3.004	-4.932	-1.585	-1.862	-2.511	-3.291	-3.978	-4.281	-0.309
"YFR028C"	-0.58	-0.627	-1.456	-2.027	-4.271	-1.293	-0.829	-1.447	-1.092	-1.864	-1.575	-0.087
"YGL016W"	-0.675	-0.604	-1.474	-3.034	-4.265	-1.391	-0.997	-1.608	-2.599	-3.554	-2.639	-0.132
"YGL022W"	-0.135	-0.631	-1.034	-3.396	-4.268	-1.742	-0.547	-0.699	-1.211	-1.242	-2.176	-0.102
