	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"964.1 mM Menadione (160 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33779.delYPL230w_stationary_phase_5hours"
"YCL053C"	-2.892	-2.571	-2.61	-3.477	-3.061	-2.015	-2.08	-1.822	-1.478	-1.163	-4.013	-4.22	-2.694	-0.003	-1.393	-0.638	-1.561	-1.453	-1.829	-1.193	-1.206	-1.584	-1.503	-1.277	-1.367	-1.3105	-3.2	-1.143	-1.625	-1.264	-1.866
"YCL054W"	-3.545	-2.942	-2.871	-3.741	-3.668	-1.441	-2.492	-1.974	-1.659	-1.3	-3.386	-2.063	-2.121	-0.584	-1.398	-0.558	-1.758	-1.599	-1.884	-1.438	-1.11	-1.505	-1.54	-1.39	-1.143	-2.2055	-4.039	-4.037	-2.713	-1.597	-3.761
"YCLX02C"	-4.024	-3.119	-2.69	-3.872	-3.655	-0.105	-2.8	-2.263	-1.804	-1.834	-4.118	-2.85	-2.734	-0.694	-1.312	-0.955	-2.243	-1.95	-2.282	-1.57	-1.301	-1.974	-1.943	-1.127	-1.529	-1.7125	-4.225	-2.679	-2.039	-1.187	-3.541
"YCR055C"	-4.1	-3.895	-3.121	-3.998	-3.454	-3.998	-2.922	-2.786	-1.986	-1.367	-6.518	-6.433	-3.796	-0.866	-1.489	-0.685	-2.259	-1.936	-2.904	-2.096	-1.54	-1.969	-2.123	-1.448	-1.614	-1.924	-4.055	NaN	NaN	NaN	NaN
"YCR057C"	-3.139	-3.435	-2.848	-2.984	-2.951	-3.208	-2.54	-2.527	-2.059	-1.475	-5.726	-5.109	-2.464	-0.49	-1.456	-0.741	-2.039	-1.682	-2.77	-2.311	-1.528	-1.274	-1.82	-1.462	-1.445	-1.1435	-3.831	-2.66966666666667	-1.48266666666667	-1.129	-2.95133333333333
"YCRX04W"	-1.053	-1.012	-0.7	-1.046	-1.147	-0.527	-0.878	-0.73	-0.411	-0.133	-0.819	-2.1	-0.903	-0.049	-0.254	0.065	-0.507	-0.6	-0.421	-0.418	-0.491	-0.605	-0.634	0.082	-0.589	-0.0895	-0.971	-1.072	-0.812	-0.276	-0.537
"YDL031W"	-2.88	-2.3335	-2.1535	-2.805	-2.451	-1.2305	-1.7075	-1.604	-1.4565	-0.9485	-2.5295	-3.3365	-2.234	-0.851	0.015	-0.285	-0.664	-0.7915	-1.3565	-1.355	0.0705	-0.546	-1.206	-0.102	0.1085	-0.799	-2.6385	-2.583	-1.757	-0.802	-2.16
"YDL167C"	-2.982	-3.3	-1.628	-2.786	-2.868	-2.111	-2.256	-2.074	-1.328	-0.853	-4.321	-4.001	-3.298	-0.006	-1.156	-0.435	-1.772	-1.4	-1.538	-1.102	-1.266	-1.336	-1.199	-1.118	-1.222	-1.77	-2.283	-2.303	NaN	-0.647	-3.364
"YDR083W"	-2.781	-3.602	-2.743	-3.018	-3.242	-0.901	-2.561	-2.515	-1.874	-1.206	-3.47	-2.922	-2.697	0.186	-1.681	-0.483	-1.309	-1.033	-1.78	-1.336	-0.812	-2.098	-2.258	-1.074	-1.277	-0.856	-3.386	-3.178	-2.503	-1.717	-2.713
"YDR087C"	-3.126	-4.143	-2.758	-3.643	-3.468	-1.886	-2.287	-2.337	-1.028	-0.921	-4.139	-4.944	-2.528	0.258	-0.878	-0.559	-0.865	-1.075	-1.68	-1.547	-0.851	-1.708	-2.134	-0.446	-0.868	-0.431	-4.13	-3.928	-2.942	-1.399	-3.396
"YDR184C"	-3.745	-3.004	-2.64	-3.408	-2.671	-1.575	-2.056	-1.547	-1.242	-0.812	-3.504	-1.842	-1.444	-0.118	-1.109	-0.756	-1.546	-1.536	-1.882	-1.428	-1.136	-2.075	-2.168	-0.837	-1.159	-0.597	-3.644	-3.588	-2.225	-0.801	-3.208
"YDR324C"	-3.512	-2.824	-2.336	-3.184	-3.012	-3.403	-1.933	-2.199	-1.5	-1.183	-3.361	-4.131	-2.212	-0.728	-1.492	-0.432	-2.608	-2.297	-3.039	-1.914	-1.672	-1.945	-2.099	-1.17	-1.45	-1.371	-3.609	-2.29	-1.944	-1.4445	-3.2975
"YDR465C"	-3.378	-4.511	-3.218	-3.765	-3.563	-1.603	-2.535	-2.812	-2.104	-1.14	-4.438	-2.557	-1.835	0.012	-1.135	-0.64	-1.75	-1.579	-2.458	-2.305	-1.377	-2.316	-2.684	-1.372	-1.623	-0.682	-3.782	-4.693	-2.965	-1.655	-3.552
"YDR496C"	-5.251	-3.9025	-3.671	-4.953	-4.7405	-3.085	-3.2695	-2.809	-2.2355	-1.793	-3.1645	-4.393	-4.5275	-0.314	-2.132	-0.358	-3.063	-2.733	-3.5775	-2.461	-2.197	-3.151	-2.808	-1.5675	-1.6945	-2.2255	-5.1875	-3.216	-2.317	-1.143	-1.917
