	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"
"YAR073W"	-1.092	-1.575	-0.454	-1.621	-1.713	-2.113	-1.475	-1.717	-1.497	-1.4285	-1.516	-1.811	-1.561	-1.593	-2.506	-3.191	-3.447	-2.377	-2.3595	-2.069	-2.598	-1.876	-2.5165	-2.5015	-1.0175	-0.262	-0.427	-0.339	-1.799	-0.719	-1.88	-2.7385	-2.6685	-2.892	-3.238	-1.7655	-2.2135	-2.457
"YAR075W"	-1.707	-0.985	-0.932	-1.716	-2.776	-3.067	-1.585	-1.519	-1.488	-1.643	-1.345	-2.675	-2.835	-2.296	-2.875	-4.482	-4.212	-3.18	-2.843	-2.083	-2.736	-2.115	-2.55	-2.789	-0.94	-0.704	-1.014	-0.445	-1.627	-1.058	-1.346	-2.815	-2.98	-3.089	-3.157	-1.952	-1.018	-1.481
"YBL024W"	-2.122	-2.218	-1.077	-1.562	-2.598	-2.9	-1.0245	-1.037	-0.6595	-1.1915	-3.938	-2.484	-2.16	-2.175	-2.483	-4.671	-4.879	-2.114	-3.8255	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.231	-0.568	-0.43	-0.355	-1.016	-0.47	-2.18	-1.534	-1.6095	-1.726	-1.397	-0.9475	-1.0905	-2.946
"YBL076C"	-1.023	-1.502	-1.024	-1.412	-1.76	-2.078	-1.647	-1.229	-1.0485	-1.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.361	-2.4945	-2.9205	-3.688	-3.4915	-3.368	-0.4915	-0.023	0.058	-0.167	-1.355	-0.247	-2.591	-2.7875	-2.8895	-3.033	-3.216	-1.025	-1.5055	-3.674
"YBL077W"	-0.893	-1.205	-0.375	-1.238	-1.572	-1.735	-1.134	-1.083	-0.904	-1.0285	-3.41	-2.161	-1.571	-2.021	-1.176	-3.136	-5.081	-2.607	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.479	-0.162	-0.223	-0.071	-1.147	-0.402	-1.547	-2.488	-2.2065	-2.3345	-2.1125	-0.841	-1.532	-2.847
"YBR079C"	-1.418	-2.18	-0.691	-1.147	-1.984	-2.451	-0.7725	-0.479	-0.9535	-0.595	-2.406	-1.379	-1.128	-0.936	-1.845	-1.806	-4.79	-1.68	-2.741	-1.661	-2.5405	-1.965	-2.9905	-2.7575	0.0695	-0.174	0.24	-0.409	-0.238	-0.048	-1.519	-1.325	-1.8995	-1.632	-1.8935	-0.796	-2.22	-1.842
"YBR121C"	-1.133	-1.742	-1.029	-1.211	-1.752	-2.004	-1.014	-1.349	-1.252	-1.297	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.366	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.7465	-0.332	-0.234	-0.234	-1.272	-0.592	-2.249	-2.5385	-2.551	-2.637	-2.6705	-0.92	-1.273	-2.549
"YCR034W"	-1.707	-1.773	-0.077	-1.028	-1.49	-1.925	-0.4645	-1.127	-0.973	-1.025	-2.623	-1.309	-0.877	-1.912	-1.771	-3.204	-4.331	-1.895	-2.5505	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-1.282	-0.534	-0.921	-0.493	-1.321	-0.673	-1.8	-2.646	-2.198	-2.761	-2.5975	-1.2345	-1.6025	-3.552
"YDR023W"	-0.935	-1.126	-0.94	-1.189	-1.564	-1.856	1.176	-1.003	-0.892	-0.857	-1.814	-2.122	-1.347	-2.164	-2.077	-2.907	-5.745	-1.813	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	-1.035	-0.114	0.248	0.031	-1.24	-0.154	-2.091	-1.396	-1.983	-2.106	-1.812	-0.47	-1.65	-2.302
"YDR091C"	-2.613	-2.435	-0.948	-2.061	-2.869	-2.781	-0.878	-1.139	-0.864	-1.219	-3.288	-2.045	-1.68	-1.547	-1.362	-3.384	-4.4	-2.03	-2.971	-1.728	-2.044	-2.636	-3.222	-3.423	-0.28	-0.879	-1.074	-0.624	-1.258	-0.866	-1.376	-1.977	-1.695	-1.907	-1.535	-1.821	-1.435	-3.117
